46,XX
Chr  Start_Pos  End_Pos  CN_Avg  Tot_Windows SD
chr1	0	248944960	2.018	179591	0.277
chr2	0	242183392	1.990	195597	0.262
chr3	0	198173712	1.982	162500	0.349
chr4	0	190191424	1.934	155341	0.332
chr5	0	181356432	1.976	145554	0.317
chr6	0	170739136	1.983	139223	0.306
chr7	0	159333744	1.980	122770	0.297
chr8	0	145076864	1.969	118263	0.292
chr9	0	138233904	1.990	90671	0.290
chr10	0	133787152	1.995	106366	0.287
chr11	0	135076032	1.990	107079	0.283
chr12	0	133263864	1.996	106197	0.280
chr13	0	114351408	1.933	80972	0.281
chr14	0	106883664	1.989	71915	0.276
chr15	0	101980848	2.023	63245	0.278
chr16	0	90215248	2.039	59384	0.358
chr17	0	83245312	2.066	59497	0.361
chr18	0	80261320	1.961	63126	0.349
chr19	0	58607060	2.043	39356	0.351
chr20	0	64333792	2.030	50089	0.348
chr21	0	46681576	2.006	27792	0.347
chr22	0	50799832	2.073	26463	0.356
chrX	0	156029984	1.919	114705	0.348
chrY	0	56884848	0.032	10049	1.979
