46,XY
Chr  Start_Pos  End_Pos  CN_Avg  Tot_Windows SD
chr1	0	248944960	1.997	179591	0.288
chr2	0	242183392	1.996	195597	0.260
chr3	0	198173712	1.987	162500	0.320
chr4	0	190191424	1.970	155341	0.301
chr5	0	181356432	2.008	145554	0.289
chr6	0	170739136	1.987	139223	0.279
chr7	0	159333744	1.987	122770	0.272
chr8	0	145076864	1.978	118263	0.268
chr9	0	138233904	1.992	90671	0.266
chr10	0	133787152	1.992	106366	0.263
chr11	0	135076032	1.986	107079	0.260
chr12	0	133263864	2.003	106197	0.257
chr13	0	114351408	1.971	80972	0.256
chr14	0	106883664	1.993	71915	0.254
chr15	0	101980848	2.000	63245	0.253
chr16	0	90215248	2.036	59384	0.553
chr17	0	83245312	2.021	59497	0.546
chr18	0	80261320	1.981	63126	0.538
chr19	0	58607060	1.990	39356	0.534
chr20	0	64333792	2.006	50089	0.529
chr21	0	46681576	2.002	27792	0.530
chr22	0	50799832	2.027	26463	0.528
chrX	0	156029984	1.012	114705	1.086
chrY	0	56884848	1.060	10049	1.046
