46,XX
Chr  Start_Pos  End_Pos  CN_Avg  Tot_Windows SD
chr1	0	248944960	2.002	179591	0.265
chr2	0	242183392	1.993	195597	0.251
chr3	0	198173712	1.989	162500	0.330
chr4	0	190191424	1.961	155341	0.311
chr5	0	181356432	1.986	145554	0.299
chr6	0	170739136	1.987	139223	0.289
chr7	0	159333744	1.985	122770	0.281
chr8	0	145076864	1.980	118263	0.276
chr9	0	138233904	1.997	90671	0.274
chr10	0	133787152	1.993	106366	0.271
chr11	0	135076032	1.991	107079	0.267
chr12	0	133263864	1.992	106197	0.264
chr13	0	114351408	1.958	80972	0.263
chr14	0	106883664	1.996	71915	0.261
chr15	0	101980848	2.013	63245	0.260
chr16	0	90215248	2.041	59384	0.480
chr17	0	83245312	2.030	59497	0.473
chr18	0	80261320	1.973	63126	0.466
chr19	0	58607060	1.999	39356	0.463
chr20	0	64333792	2.008	50089	0.459
chr21	0	46681576	2.015	27792	0.459
chr22	0	50799832	2.005	26463	0.457
chrX	0	156029984	1.960	114705	0.448
chrY	0	56884848	0.037	10049	1.999
